month,member_months,claims,lines,units,paid_cents,paid_per_member_month,claims_per_1000_member_months
2024-01-01,24,8,12,12,118709,49.46208333333333,333.3333333333333
2024-02-01,24,4,11,11,104697,43.62375,166.66666666666666
2024-03-01,24,3,7,7,46135,19.222916666666666,125.0
2024-04-01,24,10,19,19,154264,64.27666666666667,416.6666666666667
2024-05-01,24,12,30,30,210712,87.79666666666667,500.0
2024-06-01,24,9,17,17,92436,38.515,375.0
2024-07-01,24,11,24,24,224625,93.59375,458.3333333333333
2024-08-01,24,9,18,18,160208,66.75333333333333,375.0
2024-09-01,24,18,32,33,246439,102.68291666666666,750.0
2024-10-01,24,17,27,27,232302,96.7925,708.3333333333334
2024-11-01,24,0,0,0,0,0.0,0.0
2024-12-01,24,0,0,0,0,0.0,0.0
